coherence,a_major,b_minor,eccentricity,focus_c,focus_separation,area,area_ratio_vs_circle
1.0,1.0,1.0,0.0,0.0,0.0,3.141592653589793,1.0
0.97,1.0,0.97,0.24310491562286443,0.24310491562286443,0.48620983124572886,3.0473448739820994,0.97
0.88,1.0,0.88,0.4749736834815167,0.4749736834815167,0.9499473669630334,2.764601535159018,0.88
0.75,1.0,0.75,0.6614378277661477,0.6614378277661477,1.3228756555322954,2.356194490192345,0.75
0.58,1.0,0.58,0.8146164741766521,0.8146164741766521,1.6292329483533041,1.82212373908208,0.58
0.25,1.0,0.25,0.9682458365518543,0.9682458365518543,1.9364916731037085,0.7853981633974483,0.25
