theta_rad,theta_deg,delta_theta_rad,delta_theta_deg,A_observable,B_complement,imbalance_abs_A_minus_B,G_gap,gap_loss,coherence_ratio
0.0,0.0,-0.7853981633974483,-45.0,1.0,0.0,1.0,0.0,0.25,0.0
0.0007853981633974483,0.045000000000000005,-0.7846127652340509,-44.955000000000005,0.9999993831498518,6.168501482333415e-07,0.9999987662997036,6.168497677292362e-07,0.24999938315023226,2.4673990709169446e-06
0.0015707963267948967,0.09000000000000001,-0.7838273670706534,-44.91,0.999997532600929,2.4673990709169446e-06,0.9999950652018581,2.4673929828587695e-06,0.24999753260701715,9.869571931435078e-06
0.002356194490192345,0.135,-0.783041968907256,-44.865,0.999994448357798,5.551642202005299e-06,0.9999888967155961,5.55161138127416e-06,0.24999444838861873,2.220644552509664e-05
0.0031415926535897933,0.18000000000000002,-0.7822565707438585,-44.82,0.9999901304280686,9.869571931435076e-06,0.9999802608561372,9.869474522984967e-06,0.24999013052547703,3.947789809193987e-05
0.003926990816987242,0.225,-0.7814711725804611,-44.775,0.9999845788223948,1.54211776051439e-05,0.9999691576447897,1.542093979242517e-05,0.24998457906020757,6.168375916970068e-05
0.00471238898038469,0.27,-0.7806857744170635,-44.73,0.9999777935544749,2.220644552509664e-05,0.9999555871089498,2.220595239887378e-05,0.24997779404760112,8.882380959549512e-05
0.005497787143782139,0.31500000000000006,-0.7799003762536661,-44.685,0.9999697746410506,3.0225358949319215e-05,0.9999395492821013,3.02244453769956e-05,0.249969775554623,0.0001208977815079824
0.006283185307179587,0.36000000000000004,-0.7791149780902686,-44.63999999999999,0.999960522101908,3.947789809193986e-05,0.9999210442038161,3.94763395875021e-05,0.2499605236604125,0.0001579053583500084
0.007068583470577035,0.405,-0.7783295799268712,-44.595,0.9999500359598766,4.996404012323804e-05,0.9999000719197534,4.99615437179326e-05,0.24995003845628208,0.0001998461748717304
0.007853981633974483,0.45,-0.7775441817634738,-44.550000000000004,0.9999383162408302,6.168375916970068e-05,0.9998766324816605,6.167995428355536e-05,0.24993832004571645,0.00024671981713422146
0.008639379797371931,0.495,-0.7767587836000763,-44.504999999999995,0.9999253629736858,7.463702631408607e-05,0.9998507259473718,7.463145562838905e-05,0.2499253685443716,0.0002985258225135562
0.00942477796076938,0.54,-0.7759733854366789,-44.46,0.9999111761904046,8.88238095954951e-05,0.9998223523808091,8.881591992634404e-05,0.24991118408007365,0.00035526367970537616
0.010210176124166827,0.585,-0.7751879872732814,-44.415,0.9998957559259904,0.00010424407400945041,0.999791511851981,0.0001042332071824843,0.24989576679281753,0.0004169328287299372
0.010995574287564277,0.6300000000000001,-0.774402589109884,-44.37,0.9998791022184921,0.0001208977815079824,0.999758204436984,0.00012088316523440885,0.2498791168347656,0.0004835326609376354
0.011780972450961725,0.675,-0.7736171909464865,-44.324999999999996,0.9998612151090003,0.00013878489099972325,0.9997224302180006,0.00013876562975375343,0.24986123437024624,0.0005550625190150137
0.012566370614359173,0.7200000000000001,-0.7728317927830891,-44.28,0.99984209464165,0.0001579053583500084,0.9996841892832999,0.00015788042424781274,0.2498421195757522,0.000631521696991251
0.013351768777756621,0.765,-0.7720463946196917,-44.235,0.9998217408636191,0.00017825913638098547,0.999643481727238,0.00017822736006128218,0.2498217726399387,0.0007129094402451287
0.01413716694115407,0.81,-0.7712609964562942,-44.19,0.9998001538251282,0.0001998461748717304,0.9996003076502565,0.00019980623637811952,0.2498001937636219,0.0007992249455124781
