coherence,left_focus,right_focus,focus_separation,residual
1.0,-0.0,0.0,0.0,0.0
0.95,-0.31224989991991997,0.31224989991991997,0.6244997998398399,0.050000000000000044
0.9,-0.4358898943540673,0.4358898943540673,0.8717797887081346,0.09999999999999998
0.85,-0.526782687642637,0.526782687642637,1.053565375285274,0.15000000000000002
0.8,-0.5999999999999999,0.5999999999999999,1.1999999999999997,0.19999999999999996
0.75,-0.6614378277661477,0.6614378277661477,1.3228756555322954,0.25
0.7,-0.714142842854285,0.714142842854285,1.42828568570857,0.30000000000000004
0.6499999999999999,-0.7599342076785333,0.7599342076785333,1.5198684153570665,0.3500000000000001
0.6,-0.8,0.8,1.6,0.4
0.55,-0.8351646544245033,0.8351646544245033,1.6703293088490065,0.44999999999999996
0.5,-0.8660254037844386,0.8660254037844386,1.7320508075688772,0.5
0.44999999999999996,-0.8930285549745877,0.8930285549745877,1.7860571099491753,0.55
0.3999999999999999,-0.9165151389911681,0.9165151389911681,1.8330302779823362,0.6000000000000001
0.35,-0.9367496997597597,0.9367496997597597,1.8734993995195195,0.65
0.29999999999999993,-0.9539392014169457,0.9539392014169457,1.9078784028338913,0.7000000000000001
0.25,-0.9682458365518543,0.9682458365518543,1.9364916731037085,0.75
