theta_deg,phi_deg,S_normal,S_tangent,x_plane,y_plane,distance_from_balance
10.0,80.0,0.030153689607045817,0.9698463103929541,-35.0,0.9396926207859083,35.012612330723904
10.05,79.95,0.030452873952645444,0.9695471260473545,-34.95,0.9390942520947091,34.962614290329
10.1,79.9,0.03075348862022203,0.9692465113797779,-34.9,0.9384930227595559,34.91261618890467
10.15,79.85,0.031055532694051202,0.9689444673059489,-34.85,0.9378889346118977,34.86261802638562
10.2,79.8,0.031359005254054266,0.9686409947459457,-34.8,0.9372819894918915,34.81261980270697
10.25,79.75,0.031663905375801195,0.9683360946241989,-34.75,0.9366721892483977,34.76262151780431
10.3,79.7,0.03197023213051336,0.9680297678694867,-34.7,0.9360595357389734,34.712623171613636
10.35,79.65,0.032277984585066324,0.9677220154149337,-34.65,0.9354440308298674,34.66262476407139
10.4,79.6,0.03258716180199279,0.9674128381980073,-34.6,0.9348256763960144,34.61262629511447
10.45,79.55,0.03289776283948524,0.9671022371605147,-34.55,0.9342044743210295,34.56262776468018
10.5,79.5,0.03320978675139913,0.9667902132486009,-34.5,0.9335804264972019,34.51262917270631
10.55,79.45,0.03352323258725545,0.9664767674127446,-34.45,0.9329535348254892,34.46263051913106
10.6,79.4,0.03383809939224388,0.9661619006077562,-34.4,0.9323238012155123,34.41263180389307
10.65,79.35,0.03415438620722554,0.9658456137927746,-34.35,0.931691227585549,34.36263302693145
10.7,79.3,0.034472092068735846,0.9655279079312642,-34.3,0.9310558158625284,34.31263418818572
10.75,79.25,0.03479121600898772,0.9652087839910123,-34.25,0.9304175679820246,34.26263528759587
10.8,79.2,0.03511175705587428,0.9648882429441258,-34.2,0.9297764858882515,34.212636325102324
10.85,79.15,0.03543371423297189,0.9645662857670282,-34.15,0.9291325715340563,34.16263730064594
10.9,79.1,0.03575708655954327,0.9642429134404568,-34.1,0.9284858268809135,34.11263821416806
10.95,79.05,0.03608187305054004,0.9639181269494599,-34.05,0.9278362538989199,34.06263906561042
11.0,79.0,0.036408072716606316,0.9635919272833937,-34.0,0.9271838545667874,34.01263985491525
11.05,78.95,0.036735684564081356,0.9632643154359186,-33.95,0.9265286308718372,33.9626405820252
11.1,78.9,0.03706470759500262,0.9629352924049973,-33.9,0.9258705848099947,33.91264124688338
11.15,78.85,0.03739514080710897,0.9626048591928911,-33.85,0.9252097183857821,33.86264184943336
11.2,78.8,0.03772698319384345,0.9622730168061565,-33.8,0.924546033612313,33.81264238961912
11.25,78.75,0.03806023374435663,0.9619397662556434,-33.75,0.9238795325112867,33.762642867385146
11.3,78.7,0.038394891443509556,0.9616051085564904,-33.7,0.9232102171129808,33.71264328267634
11.35,78.65,0.03873095527187681,0.9612690447281232,-33.65,0.9225380894562465,33.662643635438044
11.4,78.6,0.03906842420574976,0.9609315757942504,-33.6,0.9218631515885006,33.6126439256161
11.45,78.55,0.03940729721713941,0.9605927027828606,-33.55,0.9211854055657211,33.56264415315675
11.5,78.5,0.03974757327377984,0.9602524267262201,-33.5,0.9205048534524403,33.51264431800674
11.55,78.45,0.04008925133913117,0.9599107486608689,-33.45,0.9198214973217377,33.462644420113236
11.6,78.4,0.040432330372382766,0.9595676696276172,-33.4,0.9191353392552344,33.41264445942386
11.65,78.35,0.040776809328456426,0.9592231906715435,-33.35,0.9184463813430871,33.36264443588671
11.7,78.3,0.04112268715800943,0.9588773128419905,-33.3,0.917754625683981,33.312644349450316
11.75,78.25,0.04146996280743797,0.958530037192562,-33.25,0.917060074385124,33.2626442000637
11.8,78.2,0.041818635218880185,0.9581813647811197,-33.2,0.9163627295622395,33.21264398767631
11.85,78.15,0.04216870333021944,0.9578312966697806,-33.15,0.9156625933395612,33.16264371223804
11.9,78.1,0.042520166075087615,0.9574798339249124,-33.1,0.9149596678498249,33.1126433736993
11.95,78.05,0.04287302238286817,0.9571269776171318,-33.05,0.9142539552342637,33.06264297201089
12.0,78.0,0.04322727117869958,0.9567727288213005,-33.0,0.9135454576426009,33.01264250712414
12.05,77.95,0.043582911383478605,0.9564170886165214,-32.95,0.9128341772330428,32.962641978990774
12.1,77.9,0.0439399419138635,0.9560600580861365,-32.9,0.912120116172273,32.91264138756301
12.15,77.85,0.044298361682277416,0.9557016383177226,-32.85,0.9114032766354452,32.86264073279355
12.2,77.8,0.044658169596911476,0.9553418304030885,-32.8,0.910683660806177,32.812640014635505
12.25,77.75,0.045019364561728406,0.9549806354382716,-32.75,0.9099612708765432,32.76263923304249
12.3,77.7,0.045381945476465735,0.9546180545235343,-32.7,0.9092361090470686,32.712638387968575
12.35,77.65,0.04574591123663909,0.9542540887633609,-32.65,0.9085081775267219,32.662637479368264
12.4,77.6,0.0461112607335457,0.9538887392664543,-32.6,0.9077774785329087,32.612636507196584
12.45,77.55,0.04647799285426755,0.9535220071457324,-32.55,0.9070440142914649,32.562635471408974
12.5,77.5,0.046846106481675025,0.953153893518325,-32.5,0.90630778703665,32.51263437196136
12.55,77.45,0.047215600494430195,0.9527843995055699,-32.45,0.9055687990111397,32.46263320881014
12.6,77.4,0.04758647376699022,0.9524135262330098,-32.4,0.9048270524660196,32.41263198191215
12.65,77.35,0.04795872516961083,0.9520412748303891,-32.35,0.9040825496607783,32.36263069122474
12.7,77.3,0.0483323535683496,0.9516676464316504,-32.3,0.9033352928633007,32.312629336705676
12.75,77.25,0.04870735782506969,0.9512926421749303,-32.25,0.9025852843498605,32.26262791831324
12.8,77.2,0.049083736797443094,0.950916263202557,-32.2,0.9018325264051139,32.212626436006154
12.85,77.15,0.049461489338954175,0.9505385106610459,-32.15,0.9010770213220917,32.1626248897436
12.9,77.1,0.049840614298903255,0.9501593857010967,-32.1,0.9003187714021934,32.11262327948527
12.95,77.05,0.05022111052240982,0.9497788894775903,-32.05,0.8995577789551804,32.06262160519128
13.0,77.0,0.05060297685041649,0.9493970231495835,-32.0,0.898794046299167,32.012619866822256
13.05,76.95,0.05098621211969216,0.9490137878803079,-31.95,0.8980275757606158,31.962618064339264
13.1,76.9,0.05137081516283574,0.9486291848371643,-31.9,0.8972583696743286,31.912616197703855
13.15,76.85,0.051756784808279784,0.9482432151917203,-31.85,0.8964864303834404,31.86261426687807
13.2,76.8,0.0521441198802936,0.9478558801197063,-31.8,0.8957117602394128,31.81261227182438
13.25,76.75,0.052532819198987495,0.9474671808010126,-31.75,0.8949343616020251,31.762610212505773
13.3,76.7,0.052922881580315925,0.9470771184196841,-31.7,0.8941542368393682,31.712608088885684
13.35,76.65,0.053314305836081224,0.9466856941639188,-31.65,0.8933713883278376,31.662605900928032
13.4,76.6,0.053707090773937295,0.9462929092260627,-31.6,0.8925858184521254,31.612603648597215
13.45,76.55,0.05410123519739298,0.945898764802607,-31.55,0.8917975296052141,31.56260133185809
13.5,76.5,0.05449673790581608,0.9455032620941839,-31.5,0.8910065241883678,31.512598950676
13.55,76.45,0.054893597694436747,0.9451064023055633,-31.45,0.8902128046111266,31.462596505016773
13.6,76.4,0.055291813354351224,0.9447081866456488,-31.4,0.8894163732912976,31.412593994846695
13.65,76.35,0.05569138367252562,0.9443086163274744,-31.35,0.8886172326549489,31.362591420132542
13.7,76.3,0.05609230743179935,0.9439076925682006,-31.3,0.8878153851364012,31.312588780841562
13.75,76.25,0.05649458341088915,0.9435054165891108,-31.25,0.8870108331782216,31.262586076941485
13.8,76.2,0.05689821038439263,0.9431017896156074,-31.2,0.8862035792312148,31.21258330840051
13.85,76.15,0.05730318712279204,0.9426968128772079,-31.15,0.8853936257544158,31.162580475187326
13.9,76.1,0.05770951239245804,0.942290487607542,-31.1,0.8845809752150839,31.1125775772711
13.95,76.05,0.05811718495565328,0.9418828150443467,-31.05,0.8837656300886934,31.062574614621468
14.0,76.0,0.05852620357053652,0.9414737964294635,-31.0,0.882947592858927,31.012571587208555
14.05,75.95,0.05893656699116609,0.941063433008834,-30.95,0.8821268660176679,30.962568495002966
14.100000000000001,75.9,0.05934827396750386,0.9406517260324961,-30.9,0.8813034520649923,30.912565337975778
14.15,75.85,0.05976132324541902,0.9402386767545811,-30.85,0.880477353509162,30.86256211609857
14.2,75.8,0.06017571356669178,0.9398242864333082,-30.8,0.8796485728666164,30.812558829343374
14.25,75.75,0.06059144366901735,0.9394085563309827,-30.75,0.8788171126619654,30.762555477682728
14.3,75.7,0.06100851228600974,0.9389914877139902,-30.7,0.8779829754279804,30.71255206108964
14.350000000000001,75.65,0.06142691814720562,0.9385730818527943,-30.65,0.8771461637055887,30.6625485795376
14.4,75.6,0.06184665997806825,0.9381533400219317,-30.6,0.8763066800438635,30.612545033000597
14.45,75.55,0.06226773649999109,0.9377322635000089,-30.55,0.8754645270000179,30.562541421453084
14.5,75.5,0.06269014643030213,0.9373098535696979,-30.5,0.8746197071393957,30.512537744870002
14.55,75.45,0.0631138884822674,0.9368861115177327,-30.45,0.8737722230354653,30.46253400322679
14.600000000000001,75.4,0.06353896136509515,0.9364610386349049,-30.4,0.8729220772698097,30.412530196499354
14.65,75.35,0.06396536378393973,0.9360346362160603,-30.35,0.8720692724321206,30.3625263246641
14.7,75.3,0.0643930944399053,0.9356069055600947,-30.3,0.8712138111201895,30.312522387697904
14.75,75.25,0.06482215203005016,0.9351778479699497,-30.25,0.8703556959398996,30.26251838557814
14.8,75.2,0.06525253524739048,0.9347474647526095,-30.2,0.869494929505219,30.21251431828267
14.850000000000001,75.15,0.06568424278090436,0.9343157572190957,-30.15,0.8686315144381913,30.162510185789827
14.9,75.1,0.06611727331553581,0.9338827266844641,-30.1,0.8677654533689283,30.112505988078453
14.95,75.05,0.06655162553219861,0.9334483744678015,-30.05,0.8668967489356029,30.062501725127852
15.0,75.0,0.06698729810778066,0.9330127018922194,-30.0,0.8660254037844387,30.012497396917837
15.05,74.95,0.06742428971514774,0.9325757102848522,-29.95,0.8651514205697044,29.962493003428698
15.100000000000001,74.9,0.06786259902314763,0.9321374009768524,-29.9,0.8642748019537048,29.912488544641217
15.15,74.85,0.06830222469661416,0.9316977753033858,-29.85,0.8633955506067716,29.862484020536666
15.2,74.8,0.06874316539637128,0.9312568346036286,-29.8,0.8625136692072574,29.812479431096794
15.25,74.75,0.0691854197792371,0.930814580220763,-29.75,0.8616291604415259,29.762474776303854
15.3,74.7,0.06962898649802815,0.9303710135019718,-29.7,0.8607420270039436,29.712470056140585
15.350000000000001,74.65,0.07007386420156325,0.9299261357984367,-29.65,0.8598522715968735,29.66246527059021
15.4,74.6,0.07052005153466785,0.9294799484653322,-29.6,0.8589598969306643,29.61246041963645
15.45,74.55,0.07096754713817775,0.9290324528618222,-29.55,0.8580649057236445,29.562455503263504
15.5,74.5,0.07141634964894387,0.9285836503510561,-29.5,0.8571673007021122,29.512450521456074
15.55,74.45,0.07186645769983592,0.9281335423001642,-29.45,0.8562670846003283,29.462445474199352
15.600000000000001,74.4,0.0723178699197467,0.9276821300802534,-29.4,0.8553642601605067,29.412440361479014
15.65,74.35,0.07277058493359632,0.9272294150664037,-29.35,0.8544588301328073,29.36243518328124
15.7,74.3,0.07322460136233633,0.9267753986376637,-29.3,0.8535507972753273,29.31242993959268
15.75,74.25,0.07367991782295391,0.9263200821770461,-29.25,0.8526401643540922,29.2624246304005
15.8,74.2,0.0741365329284762,0.9258634670715239,-29.2,0.8517269341430477,29.212419255692343
15.850000000000001,74.15,0.07459444528797439,0.9254055547120256,-29.15,0.8508111094240511,29.162413815456347
15.9,74.1,0.07505365350656806,0.9249463464934319,-29.1,0.8498926929868638,29.112408309681157
15.95,74.05,0.07551415618542927,0.9244858438145708,-29.05,0.8489716876291415,29.06240273835589
16.0,74.0,0.07597595192178701,0.924024048078213,-29.0,0.8480480961564261,29.012397101470167
16.05,73.95,0.0764390393089314,0.9235609606910686,-28.95,0.8471219213821373,28.962391399014102
16.1,73.9,0.07690341693621798,0.9230965830637821,-28.9,0.8461931661275641,28.912385630978306
16.15,73.85,0.07736908338907193,0.9226309166109281,-28.85,0.8452618332218562,28.862379797353885
16.2,73.8,0.07783603724899248,0.9221639627510075,-28.8,0.8443279255020151,28.812373898132424
16.25,73.75,0.07830427709355715,0.921695722906443,-28.75,0.8433914458128858,28.76236793330602
16.3,73.7,0.07877380149642621,0.9212261985035738,-28.7,0.8424523970071476,28.712361902867258
16.35,73.65,0.0792446090273469,0.9207553909726531,-28.65,0.8415107819453063,28.662355806809217
16.4,73.6,0.07971669825215787,0.9202833017478421,-28.6,0.8405666034956842,28.61234964512548
16.45,73.55,0.08019006773279345,0.9198099322672066,-28.55,0.8396198645344132,28.562343417810116
16.5,73.5,0.08066471602728803,0.919335283972712,-28.5,0.838670567945424,28.512337124857687
16.55,73.45,0.08114064168978063,0.9188593583102195,-28.45,0.8377187166204388,28.46233076626326
16.6,73.4,0.08161784327051916,0.9183821567294809,-28.4,0.8367643134589617,28.412324342022398
16.65,73.35,0.0820963193158649,0.9179036806841351,-28.35,0.8358073613682702,28.362317852131152
16.7,73.3,0.08257606836829674,0.9174239316317033,-28.3,0.8348478632634065,28.312311296586074
16.75,73.25,0.08305708896641593,0.916942911033584,-28.25,0.8338858220671681,28.262304675384218
16.8,73.2,0.08353937964495027,0.9164606203550497,-28.2,0.8329212407100994,28.212297988523126
16.85,73.15,0.08402293893475872,0.9159770610652413,-28.15,0.8319541221304826,28.162291236000843
16.9,73.1,0.0845077653628359,0.9154922346371641,-28.1,0.8309844692743282,28.11228441781591
16.95,73.05,0.08499385745231627,0.9150061425476836,-28.05,0.8300122850953674,28.06227753396736
17.0,73.0,0.08548121372247917,0.9145187862775208,-28.0,0.8290375725550416,28.012270584454733
17.05,72.95,0.08596983268875279,0.9140301673112472,-27.95,0.8280603346224944,27.96226356927806
17.1,72.9,0.08645971286271908,0.9135402871372809,-27.9,0.8270805742745617,27.912256488437876
17.15,72.85,0.08695085275211809,0.9130491472478819,-27.85,0.8260982944957638,27.862249341935208
17.2,72.8,0.08744325086085242,0.9125567491391475,-27.8,0.825113498278295,27.81224212977158
17.25,72.75,0.08793690568899215,0.9120630943110078,-27.75,0.8241261886220157,27.762234851949017
17.3,72.7,0.08843181573277906,0.911568184267221,-27.7,0.8231363685344419,27.712227508470047
17.35,72.65,0.08892797948463124,0.9110720205153688,-27.65,0.8221440410307376,27.66222009933769
17.4,72.6,0.089425395433148,0.910574604566852,-27.6,0.821149209133704,27.61221262455548
17.45,72.55,0.08992406206311392,0.9100759379368861,-27.55,0.8201518758737723,27.56220508412742
17.5,72.5,0.09042397785550409,0.909576022144496,-27.5,0.8191520442889919,27.512197478058035
17.55,72.45,0.09092514128748826,0.9090748587125117,-27.45,0.8181497174250234,27.46218980635234
17.6,72.4,0.0914275508324357,0.9085724491675643,-27.4,0.8171448983351286,27.412182069015866
17.65,72.35,0.09193120495991994,0.9080687950400801,-27.35,0.8161375900801602,27.362174266054623
17.7,72.3,0.09243610213572293,0.907563897864277,-27.3,0.8151277957285541,27.312166397475124
17.75,72.25,0.0929422408218404,0.9070577591781597,-27.25,0.8141155183563192,27.26215846328439
17.8,72.2,0.09344961947648618,0.9065503805235138,-27.2,0.8131007610470276,27.21215046348993
17.85,72.15,0.0939582365540969,0.9060417634459031,-27.15,0.8120835268918063,27.162142398099768
17.9,72.1,0.09446809050533672,0.9055319094946633,-27.1,0.8110638189893267,27.112134267122418
17.95,72.05,0.09497917977710203,0.905020820222898,-27.05,0.810041640445796,27.06212607056689
18.0,72.0,0.09549150281252629,0.9045084971874736,-27.0,0.8090169943749473,27.012117808442706
