criterion,recovered
invariant_signature_band,1
redistributive_conservation,1
isotropic_axis_pi_over_4,1
maximum_coupling,1
partial_coupling_breakdown,1
circle_ellipse_transition,1
bifocal_emergence,1
residual_bridge,1
orthogonal_signature,1
trace_balance,1
tangent_plane_crossing,1
