theta_deg,phi_deg,theta_plus_phi,difference
7.15,82.85,90.0,75.69999999999999
7.2,82.8,90.0,75.6
7.25,82.75,90.0,75.5
7.300000000000001,82.7,90.0,75.4
7.3500000000000005,82.65,90.0,75.30000000000001
7.4,82.6,90.0,75.19999999999999
7.45,82.55,90.0,75.1
7.5,82.5,90.0,75.0
7.550000000000001,82.45,90.0,74.9
7.6000000000000005,82.4,90.0,74.80000000000001
7.65,82.35,90.0,74.69999999999999
7.7,82.3,90.0,74.6
7.75,82.25,90.0,74.5
7.800000000000001,82.2,90.0,74.4
7.8500000000000005,82.15,90.0,74.30000000000001
7.9,82.1,90.0,74.19999999999999
7.95,82.05,90.0,74.1
8.0,82.0,90.0,74.0
8.05,81.95,90.0,73.9
8.1,81.9,90.0,73.80000000000001
8.15,81.85,90.0,73.69999999999999
8.200000000000001,81.8,90.0,73.6
8.25,81.75,90.0,73.5
8.3,81.7,90.0,73.4
8.35,81.65,90.0,73.30000000000001
8.4,81.6,90.0,73.19999999999999
8.450000000000001,81.55,90.0,73.1
8.5,81.5,90.0,73.0
8.55,81.45,90.0,72.9
8.6,81.4,90.0,72.80000000000001
8.65,81.35,90.0,72.69999999999999
8.700000000000001,81.3,90.0,72.6
8.75,81.25,90.0,72.5
8.8,81.2,90.0,72.4
8.85,81.15,90.0,72.30000000000001
8.9,81.1,90.0,72.19999999999999
8.950000000000001,81.05,90.0,72.1
9.0,81.0,90.0,72.0
9.05,80.95,90.0,71.9
9.1,80.9,90.0,71.80000000000001
9.15,80.85,90.0,71.69999999999999
9.200000000000001,80.8,90.0,71.6
9.25,80.75,90.0,71.5
9.3,80.7,90.0,71.4
9.35,80.65,90.0,71.30000000000001
9.4,80.6,90.0,71.19999999999999
9.450000000000001,80.55,90.0,71.1
9.5,80.5,90.0,71.0
9.55,80.45,90.0,70.9
9.600000000000001,80.4,90.0,70.80000000000001
9.65,80.35,90.0,70.69999999999999
9.700000000000001,80.3,90.0,70.6
9.75,80.25,90.0,70.5
9.8,80.2,90.0,70.4
9.850000000000001,80.15,90.0,70.30000000000001
9.9,80.1,90.0,70.19999999999999
9.950000000000001,80.05,90.0,70.1
10.0,80.0,90.0,70.0
10.05,79.95,90.0,69.9
10.100000000000001,79.9,90.0,69.80000000000001
10.15,79.85,90.0,69.69999999999999
10.200000000000001,79.8,90.0,69.6
10.25,79.75,90.0,69.5
10.3,79.7,90.0,69.4
10.350000000000001,79.65,90.0,69.30000000000001
10.4,79.6,90.0,69.19999999999999
10.450000000000001,79.55,90.0,69.1
10.5,79.5,90.0,69.0
10.55,79.45,90.0,68.9
10.600000000000001,79.4,90.0,68.80000000000001
10.65,79.35,90.0,68.69999999999999
10.700000000000001,79.3,90.0,68.6
10.75,79.25,90.0,68.5
10.8,79.2,90.0,68.4
10.850000000000001,79.15,90.0,68.30000000000001
10.9,79.1,90.0,68.19999999999999
10.950000000000001,79.05,90.0,68.1
11.0,79.0,90.0,68.0
11.05,78.95,90.0,67.9
11.100000000000001,78.9,90.0,67.80000000000001
11.15,78.85,90.0,67.69999999999999
11.200000000000001,78.8,90.0,67.6
11.25,78.75,90.0,67.5
11.3,78.7,90.0,67.4
11.350000000000001,78.65,90.0,67.30000000000001
11.4,78.6,90.0,67.19999999999999
11.450000000000001,78.55,90.0,67.1
11.5,78.5,90.0,67.0
11.55,78.45,90.0,66.9
11.600000000000001,78.4,90.0,66.80000000000001
11.65,78.35,90.0,66.69999999999999
11.700000000000001,78.3,90.0,66.6
11.75,78.25,90.0,66.5
11.8,78.2,90.0,66.4
11.850000000000001,78.15,90.0,66.30000000000001
11.9,78.1,90.0,66.19999999999999
11.950000000000001,78.05,90.0,66.1
12.0,78.0,90.0,66.0
12.05,77.95,90.0,65.9
12.100000000000001,77.9,90.0,65.80000000000001
12.15,77.85,90.0,65.69999999999999
12.200000000000001,77.8,90.0,65.6
12.25,77.75,90.0,65.5
12.3,77.7,90.0,65.4
12.350000000000001,77.65,90.0,65.30000000000001
12.4,77.6,90.0,65.19999999999999
12.450000000000001,77.55,90.0,65.1
12.5,77.5,90.0,65.0
12.55,77.45,90.0,64.9
12.600000000000001,77.4,90.0,64.80000000000001
12.65,77.35,90.0,64.69999999999999
12.700000000000001,77.3,90.0,64.6
12.75,77.25,90.0,64.5
12.8,77.2,90.0,64.4
12.850000000000001,77.15,90.0,64.30000000000001
12.9,77.1,90.0,64.19999999999999
12.950000000000001,77.05,90.0,64.1
13.0,77.0,90.0,64.0
13.05,76.95,90.0,63.900000000000006
13.100000000000001,76.9,90.0,63.800000000000004
13.15,76.85,90.0,63.699999999999996
13.200000000000001,76.8,90.0,63.599999999999994
13.25,76.75,90.0,63.5
13.3,76.7,90.0,63.400000000000006
13.350000000000001,76.65,90.0,63.300000000000004
13.4,76.6,90.0,63.199999999999996
13.450000000000001,76.55,90.0,63.099999999999994
13.5,76.5,90.0,63.0
13.55,76.45,90.0,62.900000000000006
13.600000000000001,76.4,90.0,62.800000000000004
13.65,76.35,90.0,62.699999999999996
13.700000000000001,76.3,90.0,62.599999999999994
13.75,76.25,90.0,62.5
13.8,76.2,90.0,62.400000000000006
13.850000000000001,76.15,90.0,62.300000000000004
13.9,76.1,90.0,62.199999999999996
13.950000000000001,76.05,90.0,62.099999999999994
14.0,76.0,90.0,62.0
14.05,75.95,90.0,61.900000000000006
14.100000000000001,75.9,90.0,61.800000000000004
14.15,75.85,90.0,61.699999999999996
14.200000000000001,75.8,90.0,61.599999999999994
14.25,75.75,90.0,61.5
14.3,75.7,90.0,61.400000000000006
14.350000000000001,75.65,90.0,61.300000000000004
14.4,75.6,90.0,61.199999999999996
14.450000000000001,75.55,90.0,61.099999999999994
14.5,75.5,90.0,61.0
14.55,75.45,90.0,60.900000000000006
14.600000000000001,75.4,90.0,60.800000000000004
14.65,75.35,90.0,60.699999999999996
14.700000000000001,75.3,90.0,60.599999999999994
14.75,75.25,90.0,60.5
14.8,75.2,90.0,60.400000000000006
14.850000000000001,75.15,90.0,60.300000000000004
14.9,75.1,90.0,60.199999999999996
14.950000000000001,75.05,90.0,60.099999999999994
15.0,75.0,90.0,60.0
15.05,74.95,90.0,59.900000000000006
15.100000000000001,74.9,90.0,59.800000000000004
15.15,74.85,90.0,59.699999999999996
15.200000000000001,74.8,90.0,59.599999999999994
15.25,74.75,90.0,59.5
15.3,74.7,90.0,59.400000000000006
15.350000000000001,74.65,90.0,59.300000000000004
15.4,74.6,90.0,59.199999999999996
15.450000000000001,74.55,90.0,59.099999999999994
15.5,74.5,90.0,59.0
15.55,74.45,90.0,58.900000000000006
15.600000000000001,74.4,90.0,58.800000000000004
15.65,74.35,90.0,58.699999999999996
