coherence,b_minor,focus_c,focus_separation,residual,coupling_cost,between_focus_storage
1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.9962311557788944,0.9962311557788944,0.08673802081814025,0.1734760416362805,0.0037688442211055717,0.0006538041770211653,0.0004501640336504567
0.992462311557789,0.992462311557789,0.12255023515836369,0.24510047031672738,0.007537688442211032,0.0018474909822868842,0.0012720536545183082
0.9886934673366834,0.9886934673366834,0.14995075073425457,0.29990150146850914,0.011306532663316604,0.0033908461221313912,0.002334700544100778
0.9849246231155779,0.9849246231155779,0.17298406510611525,0.3459681302122305,0.015075376884422065,0.005215599952948183,0.003591098979244177
0.9811557788944724,0.9811557788944724,0.1932183675067702,0.3864367350135404,0.018844221105527637,0.007282099277893349,0.005013946529548443
0.9773869346733668,0.9773869346733668,0.2114586955644054,0.4229173911288108,0.022613065326633208,0.009563458593365087,0.006584731709199499
0.9736180904522613,0.9736180904522613,0.22818372848231822,0.45636745696463643,0.02638190954773867,0.012039844970172558,0.008289798944070658
0.9698492462311558,0.9698492462311558,0.24370564126597266,0.4874112825319453,0.03015075376884424,0.014695817563777256,0.010118516743717646
0.9660804020100503,0.9660804020100503,0.2582414700471239,0.5164829400942478,0.0339195979899497,0.017518893696664158,0.012062290405539265
0.9623115577889447,0.9623115577889447,0.2719493808520521,0.5438987617041042,0.03768844221105527,0.020498697049149656,0.01411397551827693
0.9585427135678392,0.9585427135678392,0.28494888360196025,0.5698977672039205,0.041457286432160845,0.023626414972021854,0.016267504305284657
0.9547738693467337,0.9547738693467337,0.2973329083916987,0.5946658167833974,0.045226130653266305,0.026894433924877253,0.018517634612751178
0.9510050251256281,0.9510050251256281,0.30917542299769474,0.6183508459953895,0.04899497487437188,0.0302960841630907,0.020859774118924184
0.9472361809045227,0.9472361809045227,0.32053645281841875,0.6410729056368375,0.05276381909547734,0.03382545482003411,0.02328985301260151
0.9434673366834171,0.9434673366834171,0.33146551044037714,0.6629310208807543,0.05653266331658291,0.03747725620557028,0.02580422918146173
0.9396984924623115,0.9396984924623115,0.3420040105964535,0.684008021192907,0.06030150753768848,0.041246714845803466,0.028399615943744537
0.9359296482412061,0.9359296482412061,0.35218701501204197,0.7043740300240839,0.06407035175879394,0.045129491873402344,0.031073025857509373
0.9321608040201005,0.9321608040201005,0.3620445213624974,0.7240890427249947,0.06783919597989951,0.049121618476318754,0.0338217262751177
0.928391959798995,0.928391959798995,0.371602434034791,0.743204868069582,0.07160804020100497,0.05321944407030922,0.03664320365843994
0.9246231155778895,0.9246231155778895,0.38088330777160195,0.7617666155432039,0.07537688442211055,0.0574195941364224,0.03953513454868497
0.9208542713567839,0.9208542713567839,0.38990692597588805,0.7798138519517761,0.07914572864321612,0.061718935518796376,0.0424953616728796
0.9170854271356784,0.9170854271356784,0.3986907565211041,0.7973815130422082,0.08291457286432158,0.06611454756380115,0.04552187407229155
0.9133165829145728,0.9133165829145728,0.4072503153752593,0.8145006307505186,0.08668341708542715,0.0706036978916907,0.048612790420476046
0.9095477386934674,0.9095477386934674,0.41559945986201663,0.8311989197240333,0.09045226130653261,0.07518382188458587,0.051766344900129026
