theta_deg,phi_deg,S_normal,S_tangent,trace_sum,trace_diff
15.600000000000001,74.4,0.0723178699197467,0.9276821300802534,1.0,0.8553642601605067
15.65,74.35,0.07277058493359632,0.9272294150664037,1.0,0.8544588301328073
15.7,74.3,0.07322460136233633,0.9267753986376637,1.0,0.8535507972753273
15.75,74.25,0.07367991782295391,0.9263200821770461,1.0,0.8526401643540922
15.8,74.2,0.0741365329284762,0.9258634670715239,1.0,0.8517269341430477
15.850000000000001,74.15,0.07459444528797439,0.9254055547120256,1.0,0.8508111094240511
15.9,74.1,0.07505365350656806,0.9249463464934319,1.0,0.8498926929868638
15.95,74.05,0.07551415618542927,0.9244858438145708,1.0,0.8489716876291415
16.0,74.0,0.07597595192178701,0.924024048078213,1.0,0.8480480961564261
16.05,73.95,0.0764390393089314,0.9235609606910686,1.0,0.8471219213821373
16.1,73.9,0.07690341693621798,0.9230965830637821,1.0,0.8461931661275641
16.15,73.85,0.07736908338907193,0.9226309166109281,1.0,0.8452618332218562
16.2,73.8,0.07783603724899248,0.9221639627510075,1.0,0.8443279255020151
16.25,73.75,0.07830427709355715,0.921695722906443,1.0000000000000002,0.8433914458128858
16.3,73.7,0.07877380149642621,0.9212261985035738,1.0,0.8424523970071476
16.35,73.65,0.0792446090273469,0.9207553909726531,1.0,0.8415107819453063
16.4,73.6,0.07971669825215787,0.9202833017478421,1.0,0.8405666034956842
16.45,73.55,0.08019006773279345,0.9198099322672066,1.0,0.8396198645344132
16.5,73.5,0.08066471602728803,0.919335283972712,1.0,0.838670567945424
16.55,73.45,0.08114064168978063,0.9188593583102195,1.0,0.8377187166204388
16.6,73.4,0.08161784327051916,0.9183821567294809,1.0,0.8367643134589617
16.65,73.35,0.0820963193158649,0.9179036806841351,1.0,0.8358073613682702
16.7,73.3,0.08257606836829674,0.9174239316317033,1.0,0.8348478632634065
16.75,73.25,0.08305708896641593,0.916942911033584,1.0,0.8338858220671681
16.8,73.2,0.08353937964495027,0.9164606203550497,1.0,0.8329212407100994
16.85,73.15,0.08402293893475872,0.9159770610652413,1.0,0.8319541221304826
16.9,73.1,0.0845077653628359,0.9154922346371641,1.0,0.8309844692743282
16.95,73.05,0.08499385745231627,0.9150061425476836,0.9999999999999999,0.8300122850953674
17.0,73.0,0.08548121372247917,0.9145187862775208,1.0,0.8290375725550416
17.05,72.95,0.08596983268875279,0.9140301673112472,1.0,0.8280603346224944
17.1,72.9,0.08645971286271908,0.9135402871372809,1.0,0.8270805742745617
17.15,72.85,0.08695085275211809,0.9130491472478819,1.0,0.8260982944957638
17.2,72.8,0.08744325086085242,0.9125567491391475,1.0,0.825113498278295
17.25,72.75,0.08793690568899215,0.9120630943110078,1.0,0.8241261886220157
17.3,72.7,0.08843181573277906,0.911568184267221,1.0,0.8231363685344419
