theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.0,0.0,1.0,0.0,1.0,0.0
0.0007853981633974483,0.045000000000000005,0.9999993831498518,6.168501482333415e-07,1.0,6.168497677292362e-07
0.0015707963267948967,0.09000000000000001,0.999997532600929,2.4673990709169446e-06,1.0,2.4673929828587695e-06
0.002356194490192345,0.135,0.999994448357798,5.551642202005299e-06,1.0,5.55161138127416e-06
0.0031415926535897933,0.18000000000000002,0.9999901304280686,9.869571931435076e-06,1.0,9.869474522984967e-06
0.003926990816987242,0.225,0.9999845788223948,1.54211776051439e-05,0.9999999999999999,1.542093979242517e-05
0.00471238898038469,0.27,0.9999777935544749,2.220644552509664e-05,1.0,2.220595239887378e-05
0.005497787143782139,0.31500000000000006,0.9999697746410506,3.0225358949319215e-05,1.0,3.02244453769956e-05
0.006283185307179587,0.36000000000000004,0.999960522101908,3.947789809193986e-05,0.9999999999999999,3.94763395875021e-05
0.007068583470577035,0.405,0.9999500359598766,4.996404012323804e-05,0.9999999999999999,4.99615437179326e-05
0.007853981633974483,0.45,0.9999383162408302,6.168375916970068e-05,0.9999999999999999,6.167995428355536e-05
0.008639379797371931,0.495,0.9999253629736858,7.463702631408607e-05,0.9999999999999999,7.463145562838905e-05
0.00942477796076938,0.54,0.9999111761904046,8.88238095954951e-05,1.0,8.881591992634404e-05
0.010210176124166827,0.585,0.9998957559259904,0.00010424407400945041,0.9999999999999999,0.0001042332071824843
0.010995574287564277,0.6300000000000001,0.9998791022184921,0.0001208977815079824,1.0,0.00012088316523440885
0.011780972450961725,0.675,0.9998612151090003,0.00013878489099972325,1.0,0.00013876562975375343
0.012566370614359173,0.7200000000000001,0.99984209464165,0.0001579053583500084,1.0,0.00015788042424781274
0.013351768777756621,0.765,0.9998217408636191,0.00017825913638098547,1.0,0.00017822736006128218
0.01413716694115407,0.81,0.9998001538251282,0.0001998461748717304,0.9999999999999999,0.00019980623637811952
0.014922565104551519,0.8550000000000001,0.9997773335794415,0.0002226664205583717,0.9999999999999999,0.00022261684022352742
0.015707963267948967,0.9,0.9997532801828658,0.00024671981713422146,1.0,0.0002466589464660547
0.016493361431346415,0.9450000000000001,0.9997279936947501,0.00027200630524991496,1.0,0.00027193231781981925
0.017278759594743863,0.99,0.9997014741774863,0.00029852582251355624,0.9999999999999999,0.0002984367048468488
