theta_rad,theta_deg,A_observable,B_complement,G_coupling,A_plus_B
0.0,0.0,1.0,0.0,0.0,1.0
0.0015707963267948967,0.09000000000000001,0.999997532600929,2.4673990709169446e-06,2.4673929828587695e-06,1.0
0.0031415926535897933,0.18000000000000002,0.9999901304280686,9.869571931435076e-06,9.869474522984967e-06,1.0
0.00471238898038469,0.27,0.9999777935544749,2.220644552509664e-05,2.220595239887378e-05,1.0
0.006283185307179587,0.36000000000000004,0.999960522101908,3.947789809193986e-05,3.94763395875021e-05,0.9999999999999999
0.007853981633974483,0.45,0.9999383162408302,6.168375916970068e-05,6.167995428355536e-05,0.9999999999999999
0.00942477796076938,0.54,0.9999111761904046,8.88238095954951e-05,8.881591992634404e-05,1.0
0.010995574287564277,0.6300000000000001,0.9998791022184921,0.0001208977815079824,0.00012088316523440885,1.0
0.012566370614359173,0.7200000000000001,0.99984209464165,0.0001579053583500084,0.00015788042424781274,1.0
0.01413716694115407,0.81,0.9998001538251282,0.0001998461748717304,0.00019980623637811952,0.9999999999999999
0.015707963267948967,0.9,0.9997532801828658,0.00024671981713422146,0.0002466589464660547,1.0
0.017278759594743863,0.99,0.9997014741774863,0.00029852582251355624,0.0002984367048468488,0.9999999999999999
0.01884955592153876,1.08,0.9996447363202945,0.0003552636797053762,0.00035513746742325835,0.9999999999999999
0.020420352248333655,1.17,0.9995830671712701,0.00041693282872993733,0.0004167589957462646,1.0
0.021991148575128554,1.2600000000000002,0.9995164673390624,0.00048353266093763525,0.00048329885710344183,1.0
0.02356194490192345,1.35,0.999444937480985,0.0005550625190150136,0.0005547544246149983,1.0
0.025132741228718346,1.4400000000000002,0.9993684783030087,0.0006315216969912512,0.0006311228773374805,0.9999999999999999
0.026703537555513242,1.53,0.999287090559755,0.0007129094402451288,0.0007124012003751382,1.0
0.02827433388230814,1.62,0.9992007750544876,0.0007992249455124782,0.0007985861849989488,1.0
0.029845130209103038,1.7100000000000002,0.999109532639106,0.0008904673608941097,0.000889674428773292,1.0
0.031415926535897934,1.8,0.9990133642141359,0.000986635785864219,0.0009856623356902711,1.0
0.03298672286269283,1.8900000000000001,0.9989122707287207,0.001087729271279277,0.0010865461163116791,1.0
0.034557519189487726,1.98,0.9988062531806127,0.0011937468193873953,0.0011923217879185979,1.0
0.03612831551628262,2.07,0.9986953126161618,0.0013046873838381751,0.0013029851746686287,1.0
0.03769911184307752,2.16,0.9985794501303069,0.001420549869693034,0.0014185319077607492,1.0
0.039269908169872414,2.25,0.9984586668665639,0.001541333133436012,0.0015389574256077841,0.9999999999999999
0.04084070449666731,2.34,0.9983329640170149,0.001667035982985058,0.001664256974016491,0.9999999999999999
0.04241150082346221,2.43,0.9982023428222961,0.0017976571777037962,0.0017944256063752461,0.9999999999999999
0.04398229715025711,2.5200000000000005,0.9980668045715861,0.0019331954284137678,0.0019294581838493277,0.9999999999999999
0.045553093477052005,2.6100000000000003,0.9979263506025929,0.002073649397407157,0.00206934937558379,1.0
0.0471238898038469,2.7,0.9977809823015401,0.002219017698459994,0.0022140936589139155,1.0
0.0486946861306418,2.79,0.9976307011031541,0.0023692988968458343,0.002363685319583239,0.9999999999999999
0.05026548245743669,2.8800000000000003,0.99747550849065,0.0025244915093499214,0.0025181184519691415,1.0
0.05183627878423159,2.97,0.9973154059957162,0.0026845940042838244,0.0026773869593159877,1.0
0.053407075111026485,3.06,0.9971503951984996,0.002849604801500553,0.0028414845539758184,1.0000000000000002
0.05497787143782138,3.15,0.9969804777275898,0.003019522272410156,0.0030104047576565746,1.0
0.05654866776461628,3.24,0.9968056552600042,0.0031943447399957955,0.0031841409016778567,1.0
0.05811946409141117,3.33,0.9966259295211696,0.003374070478830294,0.0033626861272341795,0.9999999999999999
0.059690260418206076,3.4200000000000004,0.9964413022849069,0.0035586977150931683,0.0035460333856657594,1.0
0.06126105674500097,3.5100000000000002,0.9962517753734118,0.0037482246265881326,0.0037341754387367706,0.9999999999999999
0.06283185307179587,3.6,0.9960573506572389,0.003942649342761085,0.00392710485892111,1.0
0.06440264939859076,3.6900000000000004,0.9958580300552814,0.00414196994471857,0.0041248140296956184,1.0
0.06597344572538566,3.7800000000000002,0.9956538155347534,0.004346184465246716,0.004327295145840764,1.0000000000000002
0.06754424205218056,3.87,0.9954447091111694,0.004555290888830651,0.004534540213748788,1.0
0.06911503837897545,3.96,0.9952307128483256,0.00476928715167439,0.004746541051739264,1.0
0.07068583470577035,4.05,0.9950118288582787,0.004988171141721215,0.004963289290382114,0.9999999999999999
0.07225663103256524,4.14,0.9947880593013255,0.005211940698674513,0.005184776372828014,1.0
0.07382742735936014,4.23,0.9945594063859808,0.005440593614019095,0.005410993555146189,0.9999999999999999
0.07539822368615504,4.32,0.994325872368957,0.005674127631042996,0.00564193190666963,1.0
0.07696902001294993,4.41,0.9940874595551401,0.005912540444859749,0.005877582310347645,0.9999999999999999
0.07853981633974483,4.5,0.9938441702975689,0.0061558297024311365,0.006117935463105803,1.0
0.08011061266653972,4.59,0.9935960069974096,0.006403993002590402,0.006362981876213175,1.0
0.08168140899333462,4.68,0.993342972103934,0.006657027896065963,0.006612711875656962,0.9999999999999999
0.08325220532012952,4.77,0.9930850681144944,0.006914931885505575,0.006867115602524393,1.0
0.08482300164692443,4.86,0.992822297574499,0.007177702425500985,0.007126183013391942,1.0
0.08639379797371932,4.95,0.9925546630773869,0.007445336922613043,0.007389903880721817,1.0
0.08796459430051422,5.040000000000001,0.9922821672646027,0.007717832735397311,0.00765826779326574,1.0
0.08953539062730911,5.130000000000001,0.99200481282557,0.007995187174430131,0.00793126415647596,1.0
0.09110618695410401,5.220000000000001,0.9917226024976648,0.00827739750233516,0.008208882192923496,0.9999999999999999
0.0926769832808989,5.3100000000000005,0.9914355390661895,0.008564460933810393,0.008491110942723628,0.9999999999999999
0.0942477796076938,5.4,0.9911436253643443,0.00885637463565566,0.008777939263968575,1.0
0.0958185759344887,5.49,0.9908468642731995,0.009153135726800567,0.009069355833167335,1.0
0.0973893722612836,5.58,0.990545258721667,0.009454741278332957,0.009365349145692743,1.0
0.09896016858807849,5.67,0.9902388116864723,0.009761188313527798,0.009665907516235648,1.0000000000000002
0.10053096491487339,5.760000000000001,0.9899275261921234,0.010072473807876568,0.009971019079266208,1.0
0.10210176124166828,5.8500000000000005,0.9896114053108829,0.01038859468911711,0.010280671789502357,1.0
0.10367255756846318,5.94,0.989290452162736,0.010709547837263949,0.010594853422385303,1.0
0.10524335389525807,6.03,0.9889646699153609,0.011035330084639089,0.010913551574562148,1.0
0.10681415022205297,6.12,0.9886340617840967,0.01136593821590327,0.01123675366437554,1.0
0.10838494654884787,6.21,0.9882986310319124,0.011701368968087707,0.011564446932360382,1.0
0.10995574287564276,6.3,0.9879583809693737,0.0120416190306263,0.011896618441747558,1.0
0.11152653920243766,6.39,0.9876133149546117,0.012386685045388292,0.012233255078974646,1.0
0.11309733552923255,6.48,0.9872634363932885,0.012736563606711425,0.012574343554203619,0.9999999999999999
0.11466813185602745,6.57,0.9869087487385644,0.013091251261435552,0.012919870401845513,0.9999999999999999
0.11623892818282235,6.66,0.9865492554910632,0.013450744508936718,0.013269821981092026,0.9999999999999999
0.11780972450961726,6.750000000000001,0.9861849601988383,0.013815039801161702,0.01362418447645402,1.0
0.11938052083641215,6.840000000000001,0.985815866457337,0.014184133542663034,0.013982943898306935,1.0
0.12095131716320705,6.930000000000001,0.9854419779093654,0.014558022090634502,0.014346086083443099,0.9999999999999999
0.12252211349000194,7.0200000000000005,0.9850632982450529,0.01493670175494708,0.014713596695630842,1.0
0.12409290981679684,7.11,0.9846798312018147,0.01532016879818536,0.015085461226180468,1.0
0.12566370614359174,7.2,0.9842915805643156,0.015708419435684445,0.015461664994517057,1.0
0.12723450247038662,7.29,0.9838985501644328,0.016101449835567265,0.015842193148759978,1.0
0.12880529879718153,7.380000000000001,0.9835007438812177,0.016499256118782477,0.0162270306663093,1.0000000000000002
0.1303760951239764,7.47,0.9830981656408574,0.016901834359142637,0.016616162354438743,1.0
0.13194689145077132,7.5600000000000005,0.9826908194166369,0.01730918058336306,0.017009572850895587,1.0
0.1335176877775662,7.6499999999999995,0.9822787092288991,0.017721290771100948,0.01740724662450704,1.0
0.1350884841043611,7.74,0.9818618391450048,0.018138160854995145,0.017809167975793464,1.0
0.13665928043115602,7.830000000000001,0.9814402132792936,0.01855978672070621,0.018215321037588106,0.9999999999999999
0.1382300767579509,7.92,0.9810138357930429,0.01898616420695706,0.01862568977566352,1.0
0.1398008730847458,8.010000000000002,0.980582710894426,0.019417289105574047,0.019040257989364602,1.0
0.1413716694115407,8.1,0.9801468428384714,0.019853157161528464,0.019459009312248112,0.9999999999999999
0.1429424657383356,8.190000000000001,0.9797062359270213,0.020293764072978587,0.01988192721272887,0.9999999999999999
0.1445132620651305,8.28,0.9792608945086879,0.020739105491312058,0.020308994994732286,1.0
0.1460840583919254,8.370000000000001,0.9788108229788112,0.021189177021188884,0.020740195798353605,1.0
0.14765485471872028,8.46,0.9783560257794152,0.021643974220584755,0.021175512600523416,0.9999999999999999
0.1492256510455152,8.55,0.9778965073991651,0.02210349260083494,0.021614928215679775,1.0
0.15079644737231007,8.64,0.9774322723733215,0.022567727626678524,0.022058425296446575,1.0
0.15236724369910498,8.73,0.9769633252836969,0.02303667471630323,0.022505986334318467,1.0000000000000002
0.15393804002589986,8.82,0.9764896707586095,0.02351032924139059,0.022957593660352008,1.0
0.15550883635269477,8.91,0.9760113134728382,0.02398868652716169,0.02341322944586326,0.9999999999999999
0.15707963267948966,9.0,0.9755282581475768,0.024471741852423214,0.023872875703131572,1.0
0.15865042900628457,9.09,0.9750405095503859,0.02495949044961414,0.02433651428610976,1.0
0.16022122533307945,9.18,0.9745480724951472,0.025451927504852704,0.024804126891140425,0.9999999999999999
0.16179202165987436,9.270000000000001,0.974050951842016,0.025949048157983996,0.025275695057678623,1.0
0.16336281798666924,9.36,0.9735491524973721,0.026450847502627852,0.025751200169020577,0.9999999999999999
0.16493361431346415,9.450000000000001,0.9730426794137725,0.026957320586227344,0.026230623453038705,0.9999999999999999
0.16650441064025903,9.54,0.9725315375899024,0.02746846241009758,0.026713945982922635,1.0
0.16807520696705394,9.63,0.9720157320705248,0.027984267929475132,0.02720114867792648,1.0
0.16964600329384885,9.72,0.9714952679464323,0.028504732053567773,0.02769221230412208,1.0
0.17121679962064373,9.81,0.9709701503543953,0.029029849645604688,0.02818711747515827,1.0
0.17278759594743864,9.9,0.9704403844771127,0.029559615522887266,0.028685844653026347,0.9999999999999999
0.17435839227423353,9.99,0.9699059755431598,0.030094024456840163,0.02918837414883127,1.0
0.17592918860102844,10.080000000000002,0.969366928826937,0.030633071173062965,0.02969468612356902,1.0
0.17749998492782332,10.17,0.9688232496486179,0.031176750351382176,0.03020476058890977,1.0
0.17907078125461823,10.260000000000002,0.968274943374096,0.03172505662590383,0.030718577407987023,0.9999999999999999
0.1806415775814131,10.35,0.9677220154149337,0.03227798458506633,0.031236116296192554,1.0
0.18221237390820802,10.440000000000001,0.9671644712283061,0.032835528771693975,0.03175735682197724,1.0
0.1837831702350029,10.53,0.9666023163169493,0.03339768368305071,0.0322822784076576,1.0
0.1853539665617978,10.620000000000001,0.9660355562291054,0.03396444377089452,0.03281086033022826,0.9999999999999999
0.1869247628885927,10.71,0.9654641965584678,0.03453580344153214,0.03334308172218,1.0
